0-1-nederlag		sb.	50000001
10-dobbelt		adj.	53401140
1-0-føring		sb.	50000002
1-0-sejr		sb.	50000003
10-årsjubilæum		sb.	50000004
117		talord	11000001
11-meterplet		sb.	41000480
12-skala		sb.	45001106
12-tal		sb.	41001308
12-talspige		sb.	49001472
12-tommers		adj.	48005550
13-skala		sb.	12002309
13-tal		sb.	12002310
15-tommers		adj.	48005551
16-ventilet		adj.	53400001
17-tommers		adj.	53401114
19-tommers		adj.	48005552
1. g'er		sb.	11000004
21-tommers		adj.	48005553
24-7		adv.	40000000
24-timers		adj.	48005644
25-årsjubilar		sb.	50000005
26-tommers		adj.	53400003
2. g'er		sb.	11000005
2-hovedet		adj.	53401163
2-liters		adj.	53400002
2-motoret		adj.	53401167
2-sædet		adj.	53401170
32-tommers		adj.	48005554
3. g'er		sb.	12002206
3-liters		adj.	53400004
3-måneders		adj.	53401182
3-ugers		adj.	53401184
40-tommers		adj.	48005555
42-tommers		adj.	48005556
45-knallert		sb.	11000007
46-tommers		adj.	48007074
49er		sb.	41000171
50-årsfødselsdag		sb.	50000007
56-tommers		adj.	48007075
5-dobbelt		adj.	53500119
65-billet		sb.	11000008
68'er		sb.	11000009
68-generation		sb.	11000010
69'er		sb.	11000011
6-måneders		adj.	48005646
78'er		sb.	11000012
7-trinsskala		sb.	41000187
8-dobbelt		adj.	41000295
9-dobbelt		adj.	53500002
9-måneders		adj.	53400731
A/S		fork.	11002605
a/s		fork.	11002605
a	1	sb.	11000013
A	1	sb.	11000013
a-	1	præfiks	11000014
A	2	symbol	11000016
a-	2	præfiks	11000017
a	3	fork.	11000015
A3		sb.	11000019
A38®		sb.	11000020
A3-format		sb.	53500003
A3-kopi		sb.	53005928
A3-papir		sb.	53005929
a	4	præp.	11000018
A4		sb.	11000021
A4-ark		sb.	40000001
A4-format		sb.	50000009
A4-kuvert		sb.	40000002
A4-papir		sb.	40000003
A4-side		sb.	40000004
A5		sb.	11000022
A5-kuvert		sb.	53500004
A5-side		sb.	40000005
aabenraaer		sb.	12008456
aakirkebybo		sb.	12008479
A-aktie		sb.	11000023
aalborgenser		sb.	12008482
aalborgensisk		adj.	53401435
Aalborgkanten		sb.	53100030
aalborgkanten		sb.	53100030
aarhushistorie		sb.	12008576
Aarhushistorie		sb.	12008576
aarhusianer		sb.	12008577
aarhusiansk		adj.	12008578
ab		præp.	11000024
ab-		præfiks	11000025
abacus		sb.	41001316
abandonnere		vb.	41001317
abbed		sb.	11000026
abbedi		sb.	11000027
abbedisse		sb.	11000028
abbreviatur		sb.	41001318
ABC		sb.	11000029
abc		sb.	11000029
abdicere		vb.	11000030
abdikation		sb.	11000031
abdomen		sb.	41000330
abdominal		adj.	41000354
abduktion		sb.	11000032
abe	1	sb.	11000033
abe	2	vb.	11000034
abebrødtræ		sb.	41000340
abebur		sb.	11000035
abefest		sb.	11000036
abegilde		sb.	46001487
abegrotte		sb.	11000037
abehus		sb.	11000038
abekat		sb.	11000039
abekattestreger		sb. pl.	11000040
-abel		suffiks	11000041
abemad		sb.	11000042
abemenneske		sb.	11000043
aber dabei		sb.	11000044
aberration		sb.	11000045
abeskøn		adj.	11000046
abespil		sb.	45002042
abesprog		sb.	11000047
abessiner		sb.	11000099
abessinerkat		sb.	46001075
abessinier		sb.	11000049
abetræ		sb.	11000050
abeunge		sb.	40000006
abiotisk		adj.	40000007
abjekt		sb.	49001497
abkhaser		sb.	11000051
abkhasisk		adj.	40000008
ablation		sb.	41001322
ablativ		sb.	11000052
abnorm		adj.	11000053
abnormitet		sb.	11000054
abolition		sb.	41001324
abolitionisme		sb.	41001325
abolitionist		sb.	41001326
a-bombe		sb.	11000055
abonnement		sb.	11000056
abonnementsafgift		sb.	11000057
abonnementskoncert		sb.	11000058
abonnementskort		sb.	11000059
abonnementsordning		sb.	40000009
abonnementspris		sb.	40000010
abonnent		sb.	11000060
abonnere		vb.	11000061
abonnine		sb.	11000062
aborigin		adj.	40000011
aboriginal		sb.	41002194
aboriginer		sb.	11000063
aborre		sb.	11000064
abort		sb.	11000065
abortere		vb.	11000066
abortindgreb		sb.	11000067
abortiv		adj.	41001327
abortlovgivning		sb.	40000012
abortmodstander		sb.	50000013
abortpille		sb.	11000068
abracadabra		udråbsord	11000069
abrasion		sb.	41001328
A-brev		sb.	11000070
abrikos		sb.	11000071
abrikosfarvet		adj.	48005867
abrikosmarmelade		sb.	50000014
abrupt		adj.	11000072
abs		fork.	46001467
ABS		fork.	46001467
abs-bremser		sb. pl.	11000074
ABS-bremser		sb. pl.	11000074
absces		sb.	11000075
abscisse		sb.	11000076
abscisseakse		sb.	41000333
absence		sb.	11000077
absentere		vb.	11000078
absint		sb.	11000079
absolut	1	sb.	11000080
absolut	2	adj.	11000081
absoluthed		sb.	11000082
absolution		sb.	11000083
absolutisme		sb.	11000084
absolutist		sb.	11000085
absolutistisk		adj.	11000086
absolvere		vb.	41001333
absorbent		sb.	41001334
absorberbar		adj.	40000013
absorbere		vb.	11000087
absorbering		sb.	40000014
absorption		sb.	11000088
abstinens		sb.	11000089
abstinenssymptom		sb.	41001335
abstinent		adj.	11000090
abstract		sb.	30000259
abstrahere		vb.	11000091
abstrakt	1	sb.	11000092
abstrakt	2	adj.	11000093
abstraktion		sb.	11000094
abstraktionsniveau		sb.	11000095
abstraktionsproces		sb.	53005657
abstrus		adj.	41001336
absurd		adj.	11000096
absurdisme		sb.	11000097
absurdist		sb.	40000015
absurdistisk		adj.	40000016
absurditet		sb.	11000098
abyssinier		sb.	11000099
abyssinierkat		sb.	46001075
a c.		fork.	11000100
ac.		fork.	11000100
Ac		symbol	41001860
a cappella		adv.	11000102
a-cappella-kor		sb.	53005658
a cappella-kor		sb.	53005658
accelerando		adv.	11000104
acceleration		sb.	11000105
accelerationsbane		sb.	41001337
accelerationsevne		sb.	40000017
accelerator		sb.	11000106
acceleratorkort		sb.	11000107
accelerere		vb.	11000108
accent		sb.	11000110
accentfri		adj.	40000020
accenttegn		sb.	11000111
accentuation		sb.	40000018
accentuere		vb.	11000112
accentuering		sb.	40000019
accept		sb.	11000113
acceptabel		adj.	11000114
acceptere		vb.	11000115
acces		sb.	11000116
accession		sb.	11000117
accessionskatalog		sb.	40000021
accessit		sb.	41001342
accessoires		sb. pl.	11000118
accessories		sb. pl.	11000119
accessorisk		adj.	41001343
accise		sb.	11000120
accisebod		sb.	40000022
acetaldehyd		sb.	11000122
acetat		sb.	11000123
acetone		sb.	11000124
acetyl		sb.	11000125
acetylen		sb.	11000126
acetylsalicylsyre		sb.	11000127
acid		sb.	11000130
acidhouse		sb.	46001632
acidjazz		sb.	40000023
acidofilus		sb.	11000131
acidofiluskultur		sb.	53005659
a conto		adv.	11000132
aconto		adv.	11000132
a-conto-beløb		sb.	40000024
acontobeløb		sb.	40000024
a conto-beløb		sb.	40000024
a conto-betaling		sb.	40000025
a-conto-betaling		sb.	40000025
acontobetaling		sb.	40000025
acontobidrag		sb.	40000026
a-conto-bidrag		sb.	40000026
a conto-bidrag		sb.	40000026
act.		fork.	11000134
actinium		sb.	41000331
action		sb.	11000135
actionfilm		sb.	11000136
actionkomedie		sb.	49101053
actionmættet		adj.	40000027
actionspil		sb.	49000946
acyklisk		adj.	41000344
AD		sb.	11000137
ad-		præfiks	11000138
A.D.		fork.	46000632
ad	1	udråbsord	11000140
ad	2	sb.	11000137
ad	3	adv.	11000141
ad	4	præp.	11000142
ad	5	præp.	11000143
ADA		sb.	11000144
ada		sb.	11000144
ad acta		adv.	41001344
adagio		adv.	11000145
Adam		egennavn	11000146
adamskostume		sb.	11000147
adamsæble		sb.	11000148
adaptation		sb.	11000149
adapter		sb.	11000150
adaptere		vb.	11000151
adaption		sb.	11000149
adaptiv		adj.	11000153
adcitation		sb.	41001349
addend		sb.	11000155
addere		vb.	11000156
addering		sb.	40000028
addition		sb.	11000157
additionstegn		sb.	40000029
additiv	1	sb.	11000158
additiv	2	adj.	11000159
adduktion		sb.	41001350
adel		sb.	11000160
adelig		adj.	11000161
adelsbrev		sb.	41001351
adelsdame		sb.	40000030
adelsfamilie		sb.	40000031
adelsfolk		sb. pl.	40000032
adelsfrue		sb.	50000017
adelsfrøken		sb.	50000018
adelsgods		sb.	50000019
adelskab		sb.	11000162
adelskalender		sb.	11000163
adelskvinde		sb.	49001811
adelsmand		sb.	11000164
adelsmærke		sb.	11000165
adelspatent		sb.	11000166
adelsslægt		sb.	40000033
adelstand		sb.	11000167
adelstitel		sb.	50000021
adelsvælde		sb.	11000168
adelsårbog		sb.	46001655
adept		sb.	11000169
adfærd		sb.	11000170
adfærdsform		sb.	40000034
adfærdsforsker		sb.	11000171
adfærdsforskning		sb.	40000035
adfærdsforstyrrelse		sb.	40000036
adfærdsmodifikation		sb.	50000023
adfærdsmønster		sb.	11000172
adfærdsnorm		sb.	50000024
adfærdsproblem		sb.	41003186
adfærdspsykologi		sb.	40000037
adfærdsregulere		vb.	11000173
adfærdsregulering		sb.	40000038
adfærdsterapeut		sb.	40000039
adfærdsterapeutisk		adj.	40000040
adfærdsterapi		sb.	11000174
adfærdsvanskelig		adj.	11000175
adfærdsvanskelighed		sb.	40000041
adgang		sb.	11000176
adgangsbegrænsning		sb.	11000177
adgangsberettiget		adj.	40000042
adgangsbetingelse		sb.	40000043
adgangsbillet		sb.	11000178
adgangseksamen		sb.	11000179
adgangsforbud		sb.	50000027
adgangsforhold		sb.	40000045
adgangsformene		vb.	11000180
adgangsgivende		adj.	40000046
adgangskode		sb.	11000181
adgangskontrol		sb.	30000260
adgangskort		sb.	11000182
adgangskrav		sb.	40000047
adgangskriterie		sb.	50000029
adgangskriterium		sb.	50000029
adgangskvotient		sb.	49001747
adgangsprøve		sb.	50000030
adgangsregulering		sb.	11000183
adgangstegn		sb.	11000184
adgangsvej		sb.	40000048
adhd		sb.	40000049
ADHD		sb.	40000049
ad hoc		adv.	11000185
ad hoc-opgave		sb.	40000050
ad-hoc-opgave		sb.	40000050
ad hoc-udvalg		sb.	40000051
ad-hoc-udvalg		sb.	40000051
adhærence		sb.	41001354
adhærens		sb.	41001357
adhæsion		sb.	11000186
adiabatisk		adj.	41001355
ad interim		adv.	11000187
adj.		fork.	11000188
adjektiv		sb.	11000189
adjektivisk		adj.	40000052
adjudant		sb.	11000190
adjudantstab		sb.	40000053
adjungere		vb.	11000191
adjunkt		sb.	11000192
adjunktur		sb.	11000193
adjø		udråbsord	11000194
adkomst		sb.	11000195
adle		vb.	11000196
adled		sb.	11000197
ad libitum		adv.	11000198
adling		sb.	40000054
adlyde		vb.	11000199
adm.		fork.	11000200
administration		sb.	11000201
administrationsapparat		sb.	50000031
administrationsbygning		sb.	50000032
administrationschef		sb.	40000055
administrationsgebyr		sb.	40000056
administrationskontor		sb.	40000057
administrationsomkostninger		sb. pl.	40000058
administrationsudgift		sb.	40000059
administrativ		adj.	11000202
administrator		sb.	11000203
administrerbar		adj.	40000060
administrere		vb.	11000204
administrering		sb.	40000061
admirabel		adj.	41001356
admiral		sb.	11000205
admiralinde		sb.	40000062
admiralitet		sb.	11000206
admiralskib		sb.	40000063
admiralsuniform		sb.	40000064
ad notam		adv.	11000207
adolescens		sb.	48005661
adonis		sb.	11000208
adoptant		sb.	11000209
